popularity_rank,canonical_key,display_name,source_breadth,in_debian_popcon,in_homebrew,in_vcpkg,in_conan,debian_installed_max,debian_regular_use_max,debian_installed_sum,debian_regular_use_sum,homebrew_installs_365d,homebrew_requested_365d,homebrew_reverse_dependencies,vcpkg_reverse_dependencies,conan_literal_reverse_dependencies,popularity_proxy_raw,popularity_proxy_share_pct,cumulative_popularity_proxy_pct
129,imath,imath,4,1,1,1,1,90458,23736,95231,24059,538560,5015,17,5,10,0.00148433654,0.18936618,60.802863
130,libxslt,libxslt,4,1,1,1,1,203145,128950,233510,134033,94185,21382,3,5,5,0.001475602598,0.18825194,60.991115
131,tar,tar,2,1,0,0,1,281696,255316,281758,255327,0,0,0,0,0,0.001461481454,0.18645042,61.177566
132,json-glib,json-glib,3,1,1,1,0,154365,119451,385434,262638,58710,2721,29,2,0,0.001455880261,0.18573584,61.363301
133,libmnl,libmnl,3,1,1,0,1,277503,172021,278724,172085,2019,18,6,0,4,0.001452705544,0.18533082,61.548632
134,vulkan-loader,vulkan-loader,4,1,1,1,1,162019,115310,177175,116782,87179,13955,7,2,8,0.001449454846,0.18491611,61.733548
135,nghttp2,nghttp2,3,1,1,1,0,271888,179973,284001,181309,52353,48613,0,1,0,0.001425811715,0.1818998,61.915448
136,m4,m4,3,1,1,0,1,71119,10067,71519,10067,905870,7299,3,0,11,0.001424378642,0.18171698,62.097165
137,uchardet,uchardet,4,1,1,1,1,254933,224057,256530,224157,20699,7669,5,0,0,0.001387743458,0.17704319,62.274208
138,libsecret,libsecret,4,1,1,1,1,143205,114778,413818,234254,87045,987,6,4,2,0.001375175867,0.17543987,62.449648
139,ccache,ccache,3,1,1,0,1,5358,1443,5358,1443,294672,292481,2,0,0,0.001374481891,0.17535133,62.624999
140,libva,libva,4,1,1,1,1,154827,111473,709260,305459,27439,247,0,0,0,0.001373546372,0.17523198,62.800231
141,graphite2,graphite2,3,1,1,1,0,197796,128449,215774,129774,821118,2596,3,0,0,0.001364408584,0.17406622,62.974298
142,dav1d,dav1d,4,1,1,1,1,114581,84349,122466,84974,889811,7586,11,0,3,0.001358885074,0.17336155,63.147659
143,popt,popt,3,1,1,0,1,281619,166203,285157,166451,76908,1358,18,0,0,0.00135605189,0.1730001,63.320659
144,gdbm,gdbm,4,1,1,1,1,145403,119869,319877,120307,352536,13985,15,0,2,0.00135347612,0.17267149,63.493331
145,z3,z3,4,1,1,1,1,172483,112281,195803,112920,609569,15786,10,1,1,0.00134327121,0.17136959,63.6647
146,pugixml,pugixml,4,1,1,1,1,24349,3053,25813,3096,36789,1117,10,15,13,0.001338246059,0.1707285,63.835429
147,openblas,openblas,4,1,1,1,1,18879,2205,52911,3995,304651,38467,55,2,6,0.001332647674,0.17001428,64.005443
148,lua,lua,3,0,1,1,1,0,0,0,0,279509,102459,42,7,3,0.001318897392,0.16826007,64.173703
